,wn,r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r1c10,r1c11,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9,r2c10,r2c11,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r3c7,r3c8,r3c9,r3c10,r3c11,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r4c7,r4c8,r4c9,r4c10,r4c11,r5c1,r5c2,r5c3,r5c4,r5c5,r5c6,r5c7,r5c8,r5c9,r5c10,r5c11,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6,r6c7,r6c8,r6c9,r6c10,r6c11,r7c1,r7c2,r7c3,r7c4,r7c5,r7c6,r7c7,r7c8,r7c9,r7c10,r7c11,r8c1,r8c2,r8c3,r8c4,r8c5,r8c6,r8c7,r8c8,r8c9,r8c10,r8c11,r9c1,r9c2,r9c3,r9c4,r9c5,r9c6,r9c7,r9c8,r9c9,r9c10,r9c11,r10c1,r10c2,r10c3,r10c4,r10c5,r10c6,r10c7,r10c8,r10c9,r10c10,r10c11,r11c1,r11c2,r11c3,r11c4,r11c5,r11c6,r11c7,r11c8,r11c9,r11c10,r11c11
0,184.0,0.00012195911045901231,-4.8967692256641015e-05,1.3217172511414974e-05,-0.00018705117075618332,-0.0006712495454169838,0.0002108043836853747,0.0,0.0,0.0005615063646244874,8.128408692512251e-08,0.00046646277070204174,-0.0001887081364145392,-0.0004345766287008541,-0.00039561432729451985,0.001344223409385195,0.0,-4.129473780032814e-05,0.0,-0.0003709517732838006,0.00015510111706897007,-1.8569361985259755e-05,0.0,-0.000266908542545174,0.0,0.0,0.0,0.0,-0.00044284778876611054,0.0,-0.00039014448239435865,0.0,0.0009719694943000892,0.0,0.0,0.0,-9.99117179799206e-05,-0.00016214752077567377,-0.0004047014960401719,0.0,-8.143897514460859e-05,0.0002145854513080908,0.0,0.00033764321855931165,0.00027707179790035515,5.834661843632173e-05,0.0,0.0,0.0,0.0,0.00011955533073150938,0.0,3.329961151721373e-05,0.0,-0.00011773236846484341,0.00018540759912617931,-7.916441380709822e-05,0.0005710157531207069,-0.0009677582431669497,0.0001728010570476083,0.0006223207056332231,-0.00010348229774042849,0.0,0.0,-0.00019253188187119506,-0.0002066396629034227,-0.00010997167244734806,-0.0002808612835583857,0.0,-0.00016499257019949928,0.0,0.0,0.0,0.0001941897052898504,0.0,0.0009017349005464224,0.0,0.0,0.0,-0.0001443017320622575,-0.0002974631323256102,-0.0006892079892880678,0.0,0.0,-9.256880752224117e-05,0.0,-0.00012774402915067515,0.0,0.0,7.789502692326346e-05,-0.00022324112598815543,0.0,-0.0002896926649599257,0.0,9.434191548383654e-05,-0.0004762034919626247,0.0,-0.0006469818678730236,-0.00028320588647103137,0.0,0.0,0.0,-0.00048659984683912497,0.0,-0.000491727357046932,0.0,0.0,0.0,0.0,3.4322312048304766e-05,0.0,0.0,-6.374791883838253e-06,-0.00042329407178118327,-0.00019779382538095521,0.0003053231044741228,-0.0003904763613151004,0.0,0.0,0.0,0.0,-0.00021611084653009148
1,185.0,0.00023317012568021474,-5.282351915254033e-05,6.786668026205422e-05,8.732630265565416e-05,-0.0004734479615665046,-4.250012691376456e-05,0.0,0.0,0.0004824915695475819,-3.3799033526697273e-05,0.0004945734923422034,-0.00016483062412690766,-0.0003085773650216223,-0.0004750852716488022,0.0009813394920589855,0.0,-4.874016616445543e-05,0.0,-0.00028733818602915117,0.0002629719799415552,-5.054517523043179e-05,0.0,-7.933642046467428e-05,0.0,0.0,0.0,0.0,-0.00045675322338910567,0.0,-0.00039184443243703396,0.0,0.0011763453998573066,0.0,0.0,0.0,-2.7230072126665838e-05,-0.00036338808684358384,-0.00034453031753637784,0.0,-0.00032237759966463256,0.0002033404912665246,0.0,0.00019455544193109053,-0.00012088987596943081,-1.4876489176416995e-05,0.0,0.0,0.0,0.0,0.00013497937959722344,0.0,6.0459513864037555e-05,0.0,-1.0766090113480394e-06,0.000129889278738203,-4.182466003457318e-05,0.0007709476656771276,-0.0008106431782442507,0.00022217655783828472,0.000554669035712702,-0.0001589852644803259,0.0,0.0,-0.0002747218368987211,-0.00031670456933284547,-0.00020990142293016614,-0.00017375887244449188,0.0,-0.00023232188903763714,0.0,0.0,0.0,9.675387383130606e-05,0.0,0.0008791318523669263,0.0,0.0,0.0,-9.883435941452083e-05,-0.0003412263666361247,-0.0007733864509568552,0.0,0.0,-1.3506655987929432e-05,0.0,-6.62914228977833e-05,0.0,0.0,8.380834655251869e-05,-8.148250137527913e-05,0.0,-0.0003215914735446448,0.0,0.00010005799125840085,-0.0001636251947585995,0.0,-0.0005745194016050033,-0.00024249282654199654,0.0,0.0,0.0,-0.0002649711525562675,0.0,-0.00037291671030343124,0.0,0.0,0.0,0.0,2.4948405314309786e-05,0.0,0.0,-0.00011985434814838861,-0.00045398967544739536,-0.0001655594914589657,0.00022568945997255473,-0.00024530440259454023,0.0,0.0,0.0,0.0,-0.000244234674485207
2,186.0,0.0002474116124937765,-6.039755723645552e-05,9.505649263436881e-05,0.00014140884803093035,-0.0004254847195682699,-0.00012147154035402935,0.0,0.0,0.0004505580059060287,-3.846089465094722e-05,0.0004938078924885367,-0.00017489007169370832,-0.00027004776996103675,-0.00048371506029283915,0.0008735084238383001,0.0,-6.689741057309921e-05,0.0,-0.00027871721339979766,0.0002930319482941146,-5.3100418425632294e-05,0.0,-3.0741649404153495e-05,0.0,0.0,0.0,0.0,-0.0004485539442137574,0.0,-0.00041534054077231564,0.0,0.0012313687037588984,0.0,0.0,0.0,-1.7981432093182526e-05,-0.00041689082807215474,-0.0003172106411050115,0.0,-0.00040541224303926104,0.00017497641759215907,0.0,0.00014198811314152643,-0.00025295306294866596,-4.989024118099574e-05,0.0,0.0,0.0,0.0,0.00012924633407492426,0.0,6.641745335298278e-05,0.0,2.8885509391426018e-05,0.00010446739630772602,-4.2942606524323926e-05,0.0007934502911117992,-0.0008003861534380438,0.00023662189702571278,0.0005070330459065788,-0.00016662047666394616,0.0,0.0,-0.0003154302904771896,-0.00034530464595452967,-0.00024653762236166336,-0.00014831252210249934,0.0,-0.00025896051260602005,0.0,0.0,0.0,5.4222485345491326e-05,0.0,0.0008341763973257012,0.0,0.0,0.0,-8.984420645676388e-05,-0.00035243604474327834,-0.0008073579342866517,0.0,0.0,-1.6578191643099193e-05,0.0,-5.4989509111482835e-05,0.0,0.0,6.098734410791266e-05,-6.215216296682792e-05,0.0,-0.0003262642710938366,0.0,8.67910891028356e-05,-6.46304228441324e-05,0.0,-0.0005391555548491454,-0.0002461562972999241,0.0,0.0,0.0,-0.00019108264702152343,0.0,-0.000328388885713706,0.0,0.0,0.0,0.0,1.9126746251329732e-05,0.0,0.0,-0.00016968517913453803,-0.00046167785982859387,-0.0001516572207324939,0.00019454265588253106,-0.00019899506774758235,0.0,0.0,0.0,0.0,-0.0002608275206581478
3,187.0,0.00020228956339464404,-7.401020429482972e-05,0.0001686993198227872,0.00014116156164954154,-0.0003533858935045235,-0.00017289430561207985,0.0,0.0,0.0003571800584598019,-1.574184126441519e-05,0.0004954503158173143,-0.0002300884690450064,-0.00020574379377077183,-0.0004707317118489336,0.0007172316378629638,0.0,-8.421644512656566e-05,0.0,-0.00024956397506168456,0.00031786672772347543,-5.305706437209106e-05,0.0,1.4885214189687885e-05,0.0,0.0,0.0,0.0,-0.0004353775443213303,0.0,-0.00045432816751122027,0.0,0.0012932015674757644,0.0,0.0,0.0,-2.405148942674068e-05,-0.0004376834770329021,-0.00025241345730464093,0.0,-0.00048057672008372065,0.00012285244455011754,0.0,4.658626850220115e-05,-0.00034809590711307967,-5.3760823552085136e-05,0.0,0.0,0.0,0.0,0.00011969934795096312,0.0,6.810664006721473e-05,0.0,6.090045708508136e-05,3.138407398065271e-05,-5.623540699097274e-05,0.0007787209286665972,-0.0008333020808850168,0.0002648207913752848,0.00042771065568518923,-0.00019833694833381539,0.0,0.0,-0.00037367923530236334,-0.00036738053902312057,-0.00025351975185883236,-0.00010431223921992054,0.0,-0.0002879275647950968,0.0,0.0,0.0,1.8487371027515834e-05,0.0,0.0007582059744560899,0.0,0.0,0.0,-8.241317506452632e-05,-0.0003471744366496016,-0.0008594990374260737,0.0,0.0,-6.650465107833958e-05,0.0,-5.317067207594953e-05,0.0,0.0,1.5213279277133852e-05,-6.366223552585122e-05,0.0,-0.0002973293844620524,0.0,7.219405089292072e-05,8.619588992537915e-05,0.0,-0.0004634644589180689,-0.0002495015887207637,0.0,0.0,0.0,-0.0001512244335505129,0.0,-0.0002821128368612273,0.0,0.0,0.0,0.0,2.1377011287808667e-06,0.0,0.0,-0.0002753022022053239,-0.0004526801533881195,-0.00011656461962659604,0.00014899021745992398,-0.00015839989269890775,0.0,0.0,0.0,0.0,-0.00031446612235831235
4,188.0,1.4865695762919084e-05,-0.00010067694053840417,0.0003378532254696863,-2.8432910649657655e-06,-0.0002505357509503806,-0.0001369271859461122,0.0,0.0,0.0001353143991402253,6.822313374629568e-05,0.0004963615868368954,-0.00038659087504838187,-0.00010095744973757756,-0.00040813400580890923,0.00048798016465167505,0.0,-9.512489079532701e-05,0.0,-0.00018115455033310078,0.0003181588073002656,-4.630708047185304e-05,0.0,3.482008299861098e-05,0.0,0.0,0.0,0.0,-0.00041646546398277866,0.0,-0.0005199546876944904,0.0,0.0013505984476218985,0.0,0.0,0.0,-7.031647056035993e-05,-0.00036266760260565586,-0.00011625148612367096,0.0,-0.0005077298700231579,2.5425249331380156e-05,0.0,-0.00012993496068342496,-0.0003136869081305795,1.863096429456403e-05,0.0,0.0,0.0,0.0,0.00010261694050727289,0.0,5.753967808003708e-05,0.0,8.279567496959292e-05,-0.0001416275227039404,-9.795463982462655e-05,0.0006650466338426902,-0.0009721000907773488,0.0003185001896734079,0.0002934283324360886,-0.00028489471662405247,0.0,0.0,-0.0004588348743459648,-0.0003652896697863181,-0.00018513221418484902,-2.9089936206404263e-05,0.0,-0.0003138481357712175,0.0,0.0,0.0,9.449196096257564e-06,0.0,0.0006261555141279177,0.0,0.0,0.0,-8.376657452397582e-05,-0.0003023422928072375,-0.0009412556365340286,0.0,0.0,-0.00022569637584523485,0.0,-8.024146759060176e-05,0.0,0.0,-7.53323699381675e-05,-0.00012363366782348786,0.0,-0.00019265283804168178,0.0,5.507911925081725e-05,0.00030925081842069337,0.0,-0.0003134690909059989,-0.00025576924908290863,0.0,0.0,0.0,-0.0002168785784109851,0.0,-0.0002495422703181065,0.0,0.0,0.0,0.0,-4.0207065826499555e-05,0.0,0.0,-0.0004903944721311579,-0.000411948882307656,-3.8495579199354036e-05,8.021985830891072e-05,-0.0001493857494599007,0.0,0.0,0.0,0.0,-0.000448329824812542
5,189.0,-9.162066298833614e-05,-0.00011550547119654042,0.000404862798586336,-0.00010600041622440272,-0.00024737082005653766,-8.609835348613655e-05,0.0,0.0,4.331121156518541e-05,0.00010416849630659155,0.0004779850294328197,-0.00046457505166165456,-8.360123076230055e-05,-0.0003803723986721675,0.00043061437055902407,0.0,-9.646012223368804e-05,0.0,-0.00016528378317784317,0.00029600339636793585,-4.2044532287946114e-05,0.0,1.3008998646693141e-05,0.0,0.0,0.0,0.0,-0.00041942899805716606,0.0,-0.0005386294251108456,0.0,0.0013479837754596415,0.0,0.0,0.0,-0.00010433299726808486,-0.0002895612660922766,-7.669292165333152e-05,0.0,-0.0004740152173044987,-1.0845702791512777e-05,0.0,-0.00019490990072044238,-0.0002285493801861947,5.29849337912643e-05,0.0,0.0,0.0,0.0,9.463076245670112e-05,0.0,4.779460472016658e-05,0.0,6.487854264687386e-05,-0.00021438985736409898,-0.00012137227101716288,0.0005784772393158693,-0.001057201823310654,0.0003348611985367354,0.000253784314052097,-0.0003313310027845288,0.0,0.0,-0.0004826886403107187,-0.0003510500422326375,-0.00014665323615227317,-1.2000934213245447e-05,0.0,-0.0003152879326103051,0.0,0.0,0.0,1.689753642570309e-05,0.0,0.0005812175656832567,0.0,0.0,0.0,-9.5378152465852e-05,-0.0002796500439058194,-0.0009637612782396413,0.0,0.0,-0.00031356598842433063,0.0,-0.00010934577773111928,0.0,0.0,-0.00010947256012429425,-0.00017617463048943683,0.0,-0.00014577422878063982,0.0,4.1707732075407374e-05,0.00033416871502498624,0.0,-0.0002735481928487995,-0.00027144658194417915,0.0,0.0,0.0,-0.00029495262925453484,0.0,-0.0002631760367406384,0.0,0.0,0.0,0.0,-6.382059689162751e-05,0.0,0.0,-0.0005697306777446155,-0.0004138276398659319,-8.75742999295362e-06,5.8855474016812826e-05,-0.000176812177749616,0.0,0.0,0.0,0.0,-0.0005105063277568721
6,190.0,-0.00023465487715847391,-0.0001371842430711128,0.0005394371663981246,-0.00023046755391775643,-0.00023243833329022966,-7.42733912022209e-05,0.0,0.0,-6.0307361352228044e-05,0.0001361021141396337,0.000351263317907522,-0.0005782921636399226,-6.17009236808238e-05,-0.0002928169642488965,0.00028454900751142604,0.0,-0.00011565169996402394,0.0,-0.0001531960771244625,0.00024987982065860726,-1.970630030023726e-05,0.0,-1.8362185545288892e-05,0.0,0.0,0.0,0.0,-0.0004184592912369991,0.0,-0.0004926192499759008,0.0,0.0013827803530763005,0.0,0.0,0.0,-0.00012748934929433139,-6.33844067646662e-05,-3.966255029411446e-05,0.0,-0.0003757563561438179,-5.5267602772940615e-05,0.0,-0.0003254661423995167,-0.00012035593141914786,6.142304406557454e-05,0.0,0.0,0.0,0.0,8.50366584919322e-05,0.0,5.58188628864695e-05,0.0,-2.402083991677153e-07,-0.0002963940644228538,-0.00015269606536476226,0.00041656528497506566,-0.0011372560813684381,0.00034930259238528293,0.00020525922225205498,-0.0004156396575437391,0.0,0.0,-0.0005071913974020832,-0.00030473030061763383,-0.00012182601445881497,7.931034414409325e-06,0.0,-0.0003179341528799659,0.0,0.0,0.0,9.660658783207504e-06,0.0,0.0005068696291737515,0.0,0.0,0.0,-0.00011999361370390401,-0.00025597855601216656,-0.0009311820477742815,0.0,0.0,-0.00044821293419231614,0.0,-0.00014566719315686774,0.0,0.0,-0.0001604697168855008,-0.00021037092187537032,0.0,-8.75166185716657e-05,0.0,2.041984737468445e-05,0.00028144312740621387,0.0,-0.00025085891742317336,-0.0002854522565724672,0.0,0.0,0.0,-0.00037999234161380116,0.0,-0.0002500580918634572,0.0,0.0,0.0,0.0,-0.00011716774667541542,0.0,0.0,-0.0006470035856199533,-0.00048150462318577447,4.032805239891169e-05,1.0773129905128357e-05,-0.00020084416856686263,0.0,0.0,0.0,0.0,-0.0005965361785474297
7,191.0,-0.00035864357304752595,-0.00016216779483178801,0.0007148783440928293,-0.0003184791304383328,-0.00021710865126358268,-0.00015274706792054016,0.0,0.0,-0.00011836297504452024,0.00013509921785662205,8.661516367628295e-05,-0.0006937411487699443,-4.901689675565618e-05,-0.00014929237187685354,5.728561263319907e-05,0.0,-0.00016204466231195481,0.0,-0.0001660760169255294,0.00018299362555058307,2.1940678065936214e-05,0.0,-5.15676555048968e-05,0.0,0.0,0.0,0.0,-0.0004155651203738727,0.0,-0.00035111802381087144,0.0,0.001465948738990758,0.0,0.0,0.0,-0.00011823870582291906,0.00031484170110482535,-3.758494211447685e-05,0.0,-0.00021398932779734394,-9.183938996704795e-05,0.0,-0.0005049078477864905,-4.4295083202301143e-05,2.122657686047059e-06,0.0,0.0,0.0,0.0,7.535033141663765e-05,0.0,9.188097727182093e-05,0.0,-0.00012151720083466544,-0.00034559576141988816,-0.0001825024683883703,0.00020459306432350115,-0.001162453826947407,0.00034808005645586365,0.00017051030467264564,-0.0005242503159896528,0.0,0.0,-0.0005205867797616786,-0.0002285185274370525,-0.0001502387233084704,1.9166723969283905e-05,0.0,-0.0003245121141580379,0.0,0.0,0.0,-2.9395661964799625e-05,0.0,0.0004210622965876286,0.0,0.0,0.0,-0.00015786834080308953,-0.00025258504897644247,-0.0008147848920400008,0.0,0.0,-0.0005943618821157697,0.0,-0.00017798656848287724,0.0,0.0,-0.00021371122116210992,-0.00019400695831773085,0.0,-5.072732113565173e-05,0.0,-9.03589082220676e-06,9.41978069198468e-05,0.0,-0.0002846931255596888,-0.00029693125857535845,0.0,0.0,0.0,-0.00042619449181715066,0.0,-0.0001943897153465562,0.0,0.0,0.0,0.0,-0.00019701198184361195,0.0,0.0,-0.000670908651905471,-0.0006484915568126081,9.168923209840448e-05,-6.0825120256701056e-05,-0.00020696472113009354,0.0,0.0,0.0,0.0,-0.0006774450989476886
8,192.0,-0.00035476000081858616,-0.00017361781396166547,0.0007699267495356816,-0.00029327695517175406,-0.00023302270575349657,-0.00026339750651810015,0.0,0.0,-7.563731155028429e-05,9.479584216751697e-05,-9.519999293882863e-05,-0.0007151872914609433,-6.261898761813345e-05,-8.217951015314773e-05,-5.3967865507001714e-05,0.0,-0.00020164197628192048,0.0,-0.00020678289050592605,0.00014929027222424432,4.4082077681622395e-05,0.0,-6.173929087689672e-05,0.0,0.0,0.0,0.0,-0.0004203168471613067,0.0,-0.00023903912918289507,0.0,0.00152178673484876,0.0,0.0,0.0,-8.9003255307332e-05,0.0005107418627790631,-8.19519153369902e-05,0.0,-0.00013005646973255356,-9.437384457238608e-05,0.0,-0.0005814512021974196,-7.955446818285398e-05,-9.014637170794402e-05,0.0,0.0,0.0,0.0,6.984967866194046e-05,0.0,0.00012260646352241428,0.0,-0.00020071592696213188,-0.0003198069672340153,-0.0001886740969339132,0.00012017765218912264,-0.0011174402670939396,0.00032812499960945815,0.00018068028504074796,-0.000567400667051937,0.0,0.0,-0.0005152550636155843,-0.00019349643504688145,-0.0002228732443159625,9.379759175214495e-06,0.0,-0.00033379403194571376,0.0,0.0,0.0,-7.71734835577799e-05,0.0,0.0003972766152866907,0.0,0.0,0.0,-0.00018076303894007194,-0.00028270697788118035,-0.0007195738993375895,0.0,0.0,-0.0006315535338560039,0.0,-0.00018461314870077888,0.0,0.0,-0.00022482728280706852,-0.00015022546283445293,0.0,-7.747509245925343e-05,0.0,-2.9422361006758877e-05,-8.785542499013898e-05,0.0,-0.00035808194539206845,-0.0003090459139113989,0.0,0.0,0.0,-0.0003943323769409291,0.0,-0.00014614997513882574,0.0,0.0,0.0,0.0,-0.0002368125144288305,0.0,0.0,-0.0006190585375402455,-0.0007886978705153514,9.411752313895466e-05,-9.602896186173866e-05,-0.00019504668313912,0.0,0.0,0.0,0.0,-0.0006860129225155346
9,193.0,-0.00035897648670846807,-0.00017901086422882778,0.0009075918377031236,-0.0002026939532923796,-0.000222359168145434,-0.00044146751240423755,0.0,0.0,-6.064521477765759e-05,3.245811377030965e-05,-0.0003805840944336569,-0.0006990994690519396,-0.00014741662047047888,-2.689573075279967e-05,-0.0002395958966830867,0.0,-0.000238541165855208,0.0,-0.00020940561193800018,0.00013225702501956443,8.785277734188315e-05,0.0,-3.4290539688285346e-05,0.0,0.0,0.0,0.0,-0.0004091063558305675,0.0,-9.435020857561429e-05,0.0,0.001655594969180551,0.0,0.0,0.0,-4.0685520849499755e-05,0.0007995529104096408,-0.00015735468911580165,0.0,-9.593790435298837e-05,-5.4697326950052496e-05,0.0,-0.0006687194568934581,-0.00012181793071179988,-0.00024020042245143073,0.0,0.0,0.0,0.0,9.19887301619627e-05,0.0,0.00017631403122320803,0.0,-0.00030184784388083554,-0.00026463772213619,-0.00017173545679404165,-2.3820995047730212e-05,-0.0010511352566872432,0.00033347929168148514,0.00017612118231494835,-0.0006135041315146829,0.0,0.0,-0.0005120444697666094,-0.00014169957818370538,-0.00030781443737488236,-3.908267820896428e-05,0.0,-0.0003353769525823169,0.0,0.0,0.0,-0.00014190734402233407,0.0,0.00033400589959846035,0.0,0.0,0.0,-0.00019711837622665,-0.0002540994613005886,-0.0005829333384010669,0.0,0.0,-0.0006534234527992165,0.0,-0.00018556930502217157,0.0,0.0,-0.0002218663329095933,-8.05641924059336e-05,0.0,-8.424843590947132e-05,0.0,-7.571276048220382e-05,-0.0002702392790376428,0.0,-0.00043854137153073833,-0.00029666647355398217,0.0,0.0,0.0,-0.0003135653612082429,0.0,-0.0001049771926358943,0.0,0.0,0.0,0.0,-0.0003025930943769231,0.0,0.0,-0.0005782426181440161,-0.0009815110783192758,0.00016444164783646596,-0.00016087255084148587,-0.00014497491791201498,0.0,0.0,0.0,0.0,-0.0006831454962707877
